Age,Married,Number of Dependents,Number of Referrals,Phone Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Unlimited Data,Paperless Billing,Payment Method,Total Revenue,Satisfaction Score,Churn Value,CLTV,Gender_Female,Gender_Male,Multiple Lines_No,Multiple Lines_Yes,Streaming TV_No,Streaming TV_Yes,Streaming Music_No,Streaming Music_Yes,Streaming Movies_No,Streaming Movies_Yes,Contract_mapeada,Offer_mapeada
68,1,0,0,1,3,21,1,1,1,1,1,1,2,131.51,1,1,4880,1,0,0,1,0,1,1,0,1,0,0,5
78,0,0,3,1,3,28,0,1,0,1,1,0,2,7981.75,1,1,4196,1,0,0,1,0,1,1,0,0,1,0,1
75,0,0,3,1,3,14,1,0,1,1,1,0,1,5670.33,2,1,5059,0,1,0,1,1,0,1,0,0,1,0,1
77,0,0,1,1,3,5,1,0,0,0,1,1,2,5312.259999999999,2,1,2728,0,1,0,1,0,1,1,0,0,1,0,1
80,0,0,0,1,3,12,0,1,0,1,1,1,2,8527.449999999999,1,1,6268,0,1,0,1,0,1,1,0,0,1,1,1
75,0,0,7,1,3,10,1,1,1,1,1,1,2,2005.85,1,1,5604,0,1,0,1,0,1,0,1,0,1,0,5
69,1,0,0,1,3,19,1,0,1,1,1,0,2,256.44,2,1,2065,1,0,0,1,1,0,0,1,0,1,0,5
74,1,0,0,1,0,0,1,1,1,1,0,0,2,387.9,2,1,5432,1,0,1,0,1,0,1,0,1,0,0,5
76,1,0,0,0,2,18,1,0,1,1,0,1,2,2580.9,2,1,5597,0,1,1,0,0,1,0,1,0,1,0,5
69,1,0,0,1,2,27,0,1,1,1,1,1,2,179.07999999999998,2,1,3475,0,1,1,0,1,0,1,0,1,0,0,5
72,0,0,1,1,3,8,1,1,1,1,1,1,2,4022.29,3,1,4333,0,1,0,1,0,1,1,0,0,1,0,5
69,1,0,0,1,3,19,0,0,0,1,1,0,1,4134.55,1,1,2482,1,0,0,1,1,0,1,0,1,0,0,5
73,1,0,0,1,3,13,1,1,0,1,0,1,2,2851.6,3,1,5444,0,1,0,1,0,1,1,0,0,1,0,5
65,1,0,0,1,3,20,0,0,0,1,1,1,2,4983.820000000001,1,1,2403,1,0,0,1,0,1,0,1,0,1,1,5
74,0,0,1,1,1,11,1,1,1,1,1,1,2,797.72,3,1,3265,0,1,0,1,0,1,1,0,0,1,0,5
66,1,0,0,1,3,7,1,1,0,1,0,1,2,7665.200000000001,3,1,5679,1,0,0,1,0,1,0,1,0,1,1,5
71,0,0,1,1,3,24,1,0,1,1,1,1,2,1570.9,1,1,5849,0,1,1,0,1,0,1,0,1,0,0,5
65,1,0,0,1,3,15,1,1,0,1,1,1,2,1356.99,1,1,4038,0,1,0,1,0,1,0,1,0,1,0,5
69,1,0,0,1,3,24,1,0,1,1,0,1,2,773.25,1,1,3189,0,1,1,0,1,0,1,0,1,0,0,5
75,0,0,0,1,3,6,1,1,1,1,1,1,2,110.47,2,1,4369,0,1,0,1,1,0,1,0,1,0,0,5
75,1,0,0,1,3,11,1,0,1,1,1,1,2,330.75,1,1,3501,1,0,0,1,1,0,1,0,1,0,0,5
68,1,0,0,1,1,17,1,1,1,1,1,1,2,386.8200000000001,1,1,2467,1,0,0,1,1,0,1,0,0,1,0,5
71,1,0,0,1,3,19,1,1,0,1,0,1,2,4244.85,1,1,2074,0,1,0,1,0,1,1,0,0,1,0,5
80,1,0,0,1,2,11,1,1,1,1,1,0,1,138.39,2,1,5900,0,1,1,0,1,0,1,0,1,0,0,4
66,1,0,0,1,3,27,0,1,1,0,1,0,1,924.91,1,1,5084,0,1,1,0,0,1,0,1,0,1,0,5
73,0,0,2,0,1,28,1,0,1,1,1,1,2,1359.7,1,1,4829,0,1,1,0,1,0,1,0,1,0,0,5
77,0,0,1,1,3,16,1,0,0,1,1,1,2,6824.17,1,1,5052,0,1,0,1,0,1,0,1,0,1,1,5
76,0,0,1,1,1,15,1,0,1,1,1,1,2,3751.77,2,1,3601,1,0,0,1,1,0,1,0,1,0,0,5
65,1,0,0,1,3,23,1,1,1,1,1,1,2,622.45,2,1,5419,1,0,0,1,0,1,0,1,0,1,0,4
75,0,0,1,1,3,23,1,1,1,1,1,1,2,2180.15,1,1,2377,0,1,0,1,1,0,1,0,1,0,0,5
75,1,0,0,1,3,29,1,1,0,1,1,1,2,1143.0,1,1,5906,0,1,0,1,0,1,1,0,0,1,0,4
68,0,0,1,1,3,2,0,1,1,0,1,1,0,351.06,1,1,4486,1,0,1,0,0,1,1,0,1,0,0,4
71,1,0,0,1,3,9,1,1,0,1,1,1,2,1073.39,1,1,5662,1,0,1,0,0,1,1,0,0,1,0,4
74,1,0,0,1,3,24,1,1,1,1,1,0,1,1424.4399999999998,3,1,4777,0,1,1,0,0,1,1,0,0,1,0,5
77,1,0,0,0,2,10,1,1,0,0,1,1,2,526.95,1,1,2437,0,1,1,0,1,0,1,0,0,1,0,5
73,1,0,0,1,3,21,1,1,0,1,1,1,2,1465.16,1,1,2995,1,0,1,0,1,0,1,0,1,0,0,5
68,1,0,0,1,3,27,1,1,1,1,1,0,2,1091.26,2,1,2202,1,0,1,0,0,1,1,0,0,1,0,5
74,0,0,1,1,1,16,1,1,0,1,1,1,1,2101.51,3,1,5508,0,1,0,1,0,1,1,0,0,1,0,5
65,0,0,1,1,3,26,1,0,0,1,1,1,2,5581.55,3,1,4687,0,1,0,1,0,1,0,1,0,1,0,5
73,0,0,5,1,3,27,1,1,0,0,1,1,2,1323.4,3,1,4553,1,0,0,1,0,1,1,0,0,1,0,5
74,0,0,1,1,3,9,1,1,1,1,1,1,2,233.92,2,1,3834,1,0,1,0,0,1,1,0,1,0,0,4
80,1,0,0,1,2,14,1,1,0,1,1,1,2,1963.17,1,1,4716,0,1,1,0,0,1,1,0,1,0,0,5
76,1,0,0,1,3,16,1,1,1,1,1,1,2,2149.2,2,1,5913,1,0,0,1,0,1,1,0,0,1,0,5
73,1,0,0,1,3,30,1,0,1,1,1,0,1,4706.18,2,1,3180,1,0,1,0,0,1,1,0,0,1,1,5
70,0,0,1,1,3,24,1,0,1,1,1,1,2,7768.44,1,1,5651,1,0,0,1,1,0,1,0,0,1,0,0
75,0,0,1,1,3,27,1,1,1,1,1,1,2,772.11,2,1,3077,0,1,1,0,0,1,1,0,0,1,0,4
74,0,0,1,1,1,22,1,1,1,1,1,1,2,2024.3,1,1,4981,0,1,0,1,1,0,1,0,0,1,0,5
76,1,0,0,1,3,22,1,1,1,1,1,1,2,1587.88,3,1,2508,0,1,0,1,0,1,1,0,1,0,0,5
75,1,0,0,1,1,18,1,1,1,1,1,1,2,98.93,2,1,4371,1,0,1,0,1,0,1,0,1,0,0,4
74,1,0,0,0,1,5,1,1,1,1,1,1,2,25.2,1,1,5688,1,0,1,0,1,0,1,0,1,0,0,5
73,1,0,0,1,3,24,1,1,1,1,1,1,2,1537.39,1,1,2230,1,0,0,1,0,1,0,1,0,1,0,5
69,1,0,0,1,3,24,1,1,1,1,1,1,2,99.26,3,1,4363,1,0,1,0,0,1,1,0,1,0,0,5
75,0,0,1,1,3,4,1,0,0,1,1,1,2,3315.4700000000003,1,1,3369,1,0,0,1,1,0,1,0,0,1,0,5
65,1,0,0,1,3,10,1,0,0,1,1,1,1,493.5700000000001,1,1,2268,1,0,1,0,0,1,0,1,0,1,0,5
77,1,0,0,1,3,18,1,1,1,1,1,1,2,209.39,3,1,4193,1,0,0,1,0,1,1,0,0,1,0,5
67,1,0,0,1,3,18,1,1,1,1,1,1,1,1009.7,2,1,5745,0,1,0,1,1,0,1,0,0,1,0,5
78,1,0,0,1,3,9,1,1,0,1,1,1,1,561.3,1,1,4028,1,0,1,0,1,0,1,0,1,0,0,5
65,1,0,0,1,3,8,1,1,1,1,0,1,2,3066.91,1,1,4458,0,1,0,1,0,1,0,1,0,1,0,3
74,1,0,0,1,3,9,1,0,1,1,1,1,2,2535.23,1,1,5683,0,1,0,1,0,1,1,0,1,0,0,3
70,1,0,0,1,3,19,1,1,1,1,1,0,2,1842.35,3,1,2099,0,1,0,1,1,0,1,0,1,0,0,3
69,1,0,0,1,3,20,1,1,1,1,1,1,2,86.04,1,1,3348,0,1,0,1,1,0,1,0,1,0,0,5
76,1,0,0,0,2,26,1,1,1,1,0,1,0,45.8,1,1,3884,1,0,1,0,1,0,1,0,1,0,0,5
71,1,0,0,1,3,14,1,1,1,1,1,1,2,1312.05,1,1,5353,0,1,0,1,0,1,1,0,0,1,0,3
76,1,0,0,1,2,6,1,1,1,1,0,0,2,227.52,3,1,4145,1,0,1,0,1,0,1,0,1,0,0,5
77,0,0,1,1,3,19,1,1,1,1,1,1,2,1033.84,2,1,5374,0,1,1,0,1,0,1,0,0,1,0,3
74,1,0,0,1,3,11,1,0,1,1,1,1,2,178.42000000000002,2,1,2803,0,1,1,0,1,0,1,0,1,0,0,5
77,1,0,0,1,3,20,1,1,0,1,0,1,2,148.4,1,1,3106,0,1,0,1,0,1,1,0,1,0,0,5
76,0,0,1,1,3,5,1,0,1,0,1,1,2,1188.4599999999998,1,1,3861,0,1,1,0,1,0,1,0,0,1,0,3
77,1,0,0,1,3,23,1,0,1,1,1,1,2,3010.51,2,1,2740,1,0,1,0,0,1,1,0,0,1,0,3
80,0,0,1,1,3,6,0,1,0,1,1,1,2,2089.3900000000003,1,1,3209,1,0,0,1,1,0,1,0,1,0,0,3
68,1,0,0,1,2,2,1,1,1,1,1,1,2,1466.41,1,1,3797,0,1,1,0,1,0,1,0,1,0,0,5
79,1,0,0,1,3,17,1,1,1,1,1,1,2,3941.61,2,1,4871,1,0,0,1,0,1,1,0,1,0,0,5
65,1,0,0,1,3,16,1,1,1,1,1,1,2,121.4,3,1,5001,0,1,1,0,0,1,1,0,1,0,0,5
68,1,0,0,1,1,12,1,1,0,1,1,1,0,89.93,2,1,3438,0,1,1,0,1,0,1,0,1,0,0,4
72,1,0,0,1,3,15,1,1,1,1,1,1,2,104.11,1,1,3438,1,0,1,0,1,0,1,0,1,0,0,4
66,1,0,0,1,3,23,0,0,0,1,1,1,2,5835.45,1,1,3380,1,0,0,1,0,1,0,1,0,1,0,5
68,1,0,0,1,3,4,1,1,1,1,0,1,2,1650.7400000000002,1,1,5394,0,1,1,0,0,1,0,1,0,1,0,5
69,0,0,1,1,3,23,1,1,1,1,1,1,2,2784.16,1,1,4584,0,1,0,1,1,0,0,1,0,1,0,5
76,0,0,1,1,3,10,1,1,1,1,1,0,2,4248.3,1,1,2712,0,1,0,1,1,0,0,1,0,1,0,5
70,0,0,1,0,1,3,1,1,1,1,1,1,2,2560.88,2,1,5172,0,1,1,0,0,1,0,1,0,1,0,5
71,1,0,0,1,1,14,1,1,1,1,1,0,2,60.38,2,1,4499,0,1,1,0,1,0,1,0,1,0,0,4
75,1,0,0,0,2,26,1,0,0,1,1,1,2,43.3,3,1,4972,0,1,1,0,1,0,1,0,0,1,0,4
67,1,0,0,1,2,27,0,0,1,1,1,1,1,3242.4500000000003,1,1,3110,1,0,1,0,1,0,1,0,1,0,0,5
65,0,0,1,1,1,22,0,0,1,0,1,1,2,4212.65,1,1,4745,1,0,0,1,0,1,1,0,1,0,0,5
80,1,0,0,1,2,14,1,1,1,1,1,0,1,60.34,1,1,2740,1,0,1,0,1,0,1,0,1,0,0,4
71,0,0,1,1,2,29,1,0,1,1,1,1,2,1667.0,3,1,4795,0,1,1,0,1,0,1,0,1,0,0,5
70,1,0,0,1,3,20,1,1,1,1,1,0,2,439.75,3,1,4054,1,0,1,0,1,0,1,0,0,1,0,4
73,1,0,0,1,3,6,1,1,1,1,1,1,2,123.72,1,1,5536,0,1,0,1,0,1,1,0,0,1,0,4
78,0,0,1,1,3,19,0,0,0,1,1,1,2,9151.29,1,1,4739,0,1,0,1,0,1,1,0,0,1,1,5
76,1,0,0,1,3,7,1,1,1,1,1,1,2,1630.3100000000002,2,1,5136,1,0,0,1,0,1,1,0,1,0,0,5
73,1,0,0,1,3,27,1,1,1,1,0,1,2,102.45,2,1,3208,1,0,1,0,1,0,1,0,1,0,0,4
68,0,0,1,1,3,11,1,0,1,1,0,1,2,577.41,1,1,4287,1,0,0,1,1,0,1,0,1,0,0,4
79,1,0,0,1,3,7,1,1,0,1,1,1,2,2907.77,1,1,4317,0,1,1,0,0,1,1,0,0,1,0,5
67,1,0,0,1,3,10,0,0,1,0,1,1,1,5969.389999999999,1,1,2833,1,0,1,0,0,1,1,0,0,1,0,5
69,0,0,1,1,3,6,1,1,1,1,1,1,2,3992.8,3,1,5247,1,0,0,1,0,1,1,0,0,1,0,5
72,1,0,0,1,3,13,1,1,1,1,1,1,2,88.75,3,1,2146,1,0,1,0,1,0,1,0,1,0,0,4
75,0,0,1,1,3,28,1,1,0,1,0,1,2,3754.22,3,1,5137,0,1,0,1,0,1,0,1,0,1,0,5
67,0,0,1,1,1,6,1,1,1,1,1,1,2,1597.66,1,1,2982,0,1,0,1,0,1,0,1,0,1,0,5
72,0,0,1,1,3,17,1,1,1,1,1,1,1,557.88,3,1,4969,0,1,0,1,1,0,1,0,1,0,0,5
68,1,0,0,1,3,28,1,1,0,1,1,1,2,222.39,1,1,3685,1,0,0,1,1,0,0,1,0,1,0,5
68,1,0,0,1,3,2,1,1,1,1,1,1,2,134.91,3,1,2371,1,0,1,0,0,1,0,1,0,1,0,5
75,0,0,1,1,3,22,1,1,1,1,1,1,1,559.67,2,1,3669,0,1,1,0,1,0,1,0,1,0,0,5
74,0,0,1,1,3,21,1,0,0,1,1,1,2,8259.33,2,1,6259,0,1,0,1,1,0,1,0,0,1,0,5
78,0,0,4,1,3,23,1,1,0,1,1,1,2,118.15,1,1,3128,1,0,0,1,0,1,1,0,0,1,0,5
66,0,0,2,1,3,8,1,0,1,1,1,1,2,1251.25,1,1,3266,0,1,1,0,1,0,1,0,1,0,0,5
73,1,0,0,1,3,20,1,1,0,1,1,1,2,276.09,2,1,3561,1,0,1,0,0,1,1,0,1,0,0,5
79,0,0,1,1,3,25,1,1,0,1,1,1,1,8726.91,1,1,4479,0,1,0,1,0,1,1,0,0,1,0,0
69,0,0,1,1,3,4,1,0,0,0,1,1,2,10690.92,3,1,4708,0,1,0,1,0,1,1,0,0,1,2,0
65,0,0,2,1,3,3,1,1,0,0,0,1,2,2030.25,3,1,2596,1,0,0,1,1,0,1,0,1,0,0,5
68,1,0,0,1,3,4,1,0,0,1,1,1,2,7447.129999999999,3,1,5605,1,0,0,1,0,1,1,0,0,1,1,5
79,1,0,0,1,3,9,1,1,1,1,1,1,2,2417.9,2,1,4819,1,0,0,1,0,1,1,0,0,1,0,5
80,1,0,0,1,3,8,1,1,1,1,1,1,2,118.12,2,1,2825,1,0,1,0,1,0,1,0,1,0,0,5
65,0,0,1,1,3,20,1,1,1,1,1,1,1,5620.45,1,1,5676,1,0,0,1,0,1,0,1,0,1,0,5
66,1,0,0,0,2,6,1,1,1,1,1,1,1,47.5,3,1,5573,0,1,1,0,1,0,1,0,1,0,0,5
75,1,0,0,1,3,13,1,1,1,1,0,1,2,823.52,3,1,2015,0,1,0,1,0,1,1,0,1,0,0,5
74,1,0,0,1,3,4,1,0,1,1,1,1,2,4406.81,3,1,5362,1,0,0,1,0,1,1,0,0,1,0,5
80,1,0,0,1,3,7,1,0,0,1,1,1,2,1950.84,1,1,2292,1,0,0,1,0,1,1,0,0,1,0,5
74,1,0,0,1,3,9,1,1,1,1,1,1,1,1443.5400000000002,1,1,4553,0,1,0,1,1,0,1,0,1,0,0,5
70,0,0,0,1,3,15,1,1,1,1,1,1,2,6202.639999999999,2,1,5390,0,1,0,1,0,1,1,0,0,1,0,5
76,0,0,3,1,3,17,0,0,0,1,1,1,2,6753.619999999999,1,1,5712,0,1,0,1,0,1,1,0,1,0,0,5
72,1,0,0,1,3,6,1,0,1,1,1,1,2,3073.2200000000003,3,1,4078,1,0,0,1,1,0,1,0,0,1,0,5
66,1,0,0,1,3,14,1,1,1,1,1,1,2,2047.76,3,1,2688,1,0,0,1,0,1,1,0,0,1,0,5
75,1,0,0,1,3,15,1,1,1,1,0,1,2,190.7,2,1,3273,0,1,1,0,1,0,1,0,1,0,0,5
65,0,0,1,1,3,5,1,1,1,1,1,1,1,4016.19,2,1,3041,0,1,0,1,1,0,0,1,0,1,0,5
79,1,0,0,1,2,17,0,1,0,1,1,0,1,3271.65,1,1,2654,0,1,1,0,1,0,1,0,0,1,1,5
73,1,0,0,1,3,22,1,0,0,1,1,0,1,3813.75,2,1,4283,0,1,0,1,0,1,1,0,0,1,0,2
79,1,0,0,1,3,23,1,1,1,1,0,1,2,5544.32,1,1,4892,0,1,0,1,0,1,1,0,0,1,0,2
70,0,0,1,1,3,21,1,1,0,0,1,1,2,4397.75,2,1,4050,1,0,1,0,0,1,1,0,0,1,0,2
71,1,0,0,1,3,28,1,1,1,1,1,1,2,322.55,1,1,2930,0,1,0,1,1,0,1,0,1,0,0,5
69,1,0,0,1,3,5,1,1,1,1,1,1,2,103.59,1,1,5057,0,1,1,0,1,0,1,0,1,0,0,5
70,1,0,0,1,3,25,1,0,0,0,0,1,2,4294.37,1,1,3401,1,0,0,1,0,1,0,1,0,1,0,2
71,0,0,1,1,3,2,1,1,0,1,1,1,2,965.89,2,1,2487,0,1,0,1,0,1,0,1,0,1,0,5
67,1,0,0,1,3,15,1,1,0,1,1,1,2,1790.5700000000002,3,1,3715,0,1,0,1,1,0,1,0,1,0,0,5
67,0,0,2,1,3,2,1,1,1,1,1,1,1,799.37,1,1,3443,0,1,1,0,0,1,1,0,1,0,0,5
69,1,0,0,1,3,28,0,1,1,1,1,1,2,1401.9599999999998,1,1,3269,1,0,0,1,0,1,1,0,0,1,0,3
75,1,0,0,1,3,18,1,1,1,1,1,1,2,868.65,1,1,3856,0,1,1,0,1,0,1,0,0,1,0,3
67,1,0,0,1,3,6,1,1,1,1,1,1,2,706.3,2,1,2718,0,1,1,0,0,1,1,0,0,1,0,5
66,0,0,0,1,3,23,1,1,1,1,1,1,2,124.83,1,1,4843,0,1,0,1,0,1,1,0,1,0,0,5
74,0,0,1,1,3,8,1,0,1,1,1,1,1,1596.17,1,1,2076,0,1,1,0,1,0,1,0,1,0,0,3
70,1,0,0,1,3,27,1,1,1,1,1,1,2,747.6899999999999,1,1,3145,1,0,0,1,1,0,1,0,1,0,0,5
76,0,0,1,1,3,22,1,1,0,0,1,1,2,4710.14,1,1,3966,0,1,0,1,0,1,1,0,0,1,0,2
67,0,0,1,1,3,29,1,1,1,1,0,1,2,121.76,3,1,5429,0,1,0,1,1,0,1,0,1,0,0,5
80,1,0,0,1,3,20,1,1,1,1,1,1,2,679.97,1,1,3068,0,1,1,0,1,0,1,0,1,0,0,5
67,0,0,1,1,3,27,1,0,0,1,1,1,2,1378.7,3,1,2709,1,0,0,1,0,1,1,0,1,0,0,3
68,0,0,1,1,3,20,0,1,1,1,1,1,2,397.5,1,1,4708,1,0,0,1,0,1,1,0,0,1,0,5
69,0,0,1,1,3,20,1,0,0,1,1,1,2,8307.76,1,1,5005,0,1,0,1,0,1,1,0,0,1,0,5
80,1,0,0,1,3,5,1,1,1,1,1,1,2,99.64,3,1,5345,1,0,1,0,1,0,1,0,1,0,0,5
73,0,0,1,1,3,26,1,1,1,1,1,0,2,4548.91,3,1,4457,1,0,1,0,1,0,1,0,1,0,0,5
73,0,0,1,1,3,8,1,1,1,1,1,1,2,106.55,1,1,4568,1,0,1,0,1,0,1,0,1,0,0,5
65,1,0,0,1,1,7,1,0,0,0,0,1,1,1408.73,1,1,5565,0,1,1,0,1,0,1,0,1,0,0,3
73,1,0,0,0,2,25,1,0,0,1,1,1,2,2834.3900000000003,2,1,6280,0,1,1,0,0,1,1,0,0,1,0,5
78,0,0,0,1,3,15,1,1,0,1,1,1,2,5175.38,1,1,4726,0,1,0,1,0,1,1,0,0,1,0,5
68,1,0,0,1,3,17,1,1,1,1,1,1,1,330.77,2,1,3684,0,1,1,0,1,0,1,0,1,0,0,5
65,0,0,1,1,3,4,1,0,1,1,0,1,2,7373.82,1,1,6363,0,1,0,1,0,1,1,0,1,0,0,5
67,1,0,0,1,3,11,1,1,1,1,1,1,2,1225.94,3,1,2075,0,1,0,1,1,0,1,0,1,0,0,3
70,1,0,0,1,3,9,1,0,1,1,1,1,2,3295.68,1,1,2091,1,0,1,0,1,0,1,0,1,0,0,2
69,0,0,1,1,1,24,1,1,1,1,1,1,2,3674.85,3,1,5746,1,0,1,0,1,0,1,0,1,0,0,5
73,1,0,0,0,2,13,1,1,0,1,1,1,2,78.65,1,1,4002,1,0,1,0,1,0,1,0,1,0,0,5
74,1,0,0,1,3,29,1,0,0,1,1,1,2,2888.76,1,1,5507,0,1,0,1,0,1,1,0,0,1,0,5
78,1,0,0,1,3,25,1,1,1,1,1,1,2,198.43,3,1,5512,1,0,0,1,0,1,1,0,1,0,0,4
77,0,0,1,1,3,4,1,0,0,1,1,1,1,2552.05,3,1,2174,0,1,1,0,1,0,1,0,1,0,0,2
70,1,0,0,1,0,0,1,1,1,1,0,1,2,42.370000000000005,1,1,3848,1,0,1,0,1,0,1,0,1,0,0,5
78,0,0,0,1,3,9,1,1,1,1,1,1,1,4195.0,3,1,2431,1,0,0,1,0,1,1,0,1,0,0,2
75,1,0,0,1,2,16,1,1,1,0,1,0,2,1613.1799999999998,1,1,5556,1,0,1,0,0,1,1,0,1,0,0,5
75,1,0,0,1,3,2,1,1,1,0,1,1,2,5535.07,1,1,3474,1,0,0,1,0,1,1,0,0,1,0,2
76,1,0,0,1,3,20,1,0,0,0,1,1,1,206.17,3,1,4486,0,1,1,0,1,0,1,0,0,1,0,4
70,0,0,1,1,3,16,1,1,1,1,1,0,2,1490.7,2,1,3443,0,1,1,0,1,0,1,0,0,1,0,5
67,0,0,1,0,2,20,1,1,1,1,1,1,1,93.7,1,1,3766,0,1,1,0,0,1,1,0,1,0,0,4
69,1,0,0,0,2,21,1,1,1,1,1,0,1,25.05,1,1,4842,1,0,1,0,1,0,1,0,1,0,0,4
70,0,0,1,0,2,21,1,0,0,1,1,0,1,2342.2,1,1,2573,1,0,1,0,0,1,1,0,0,1,0,1
74,0,0,2,1,1,4,1,1,1,1,1,1,2,1321.65,1,1,4990,0,1,0,1,1,0,1,0,0,1,0,5
77,1,0,0,1,3,2,0,0,1,1,1,1,2,5605.2,1,1,5849,1,0,0,1,0,1,1,0,0,1,0,2
66,0,0,1,1,3,4,1,0,1,1,1,1,2,1800.55,1,1,3967,0,1,0,1,0,1,1,0,0,1,0,5
70,1,0,0,1,3,29,1,1,1,1,0,1,2,4782.55,2,1,2080,0,1,0,1,0,1,1,0,0,1,0,2
68,1,0,0,1,3,10,1,1,1,1,1,1,2,115.4,2,1,2151,1,0,1,0,1,0,1,0,1,0,0,4
65,1,0,0,1,3,13,1,1,1,1,1,0,2,96.82,1,1,2139,1,0,1,0,0,1,1,0,1,0,0,4
